starttime	seconds	ctime	dtime	ttime	wait
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	28
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	28
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	28
Tue Jun 19 18:00:39 2018	1529402439	0	29	29	27
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	28
Tue Jun 19 18:00:38 2018	1529402438	5	24	29	24
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	29
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	29
Tue Jun 19 18:00:38 2018	1529402438	5	24	29	24
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	29
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	29
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	29
Tue Jun 19 18:00:39 2018	1529402439	0	29	29	18
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	29
Tue Jun 19 18:00:38 2018	1529402438	5	24	29	23
Tue Jun 19 18:00:38 2018	1529402438	5	24	29	24
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	29
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	27
Tue Jun 19 18:00:38 2018	1529402438	1	28	29	28
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	27
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	26
Tue Jun 19 18:00:39 2018	1529402439	0	29	29	28
Tue Jun 19 18:00:39 2018	1529402439	0	29	29	28
Tue Jun 19 18:00:38 2018	1529402438	0	29	29	27
Tue Jun 19 18:00:38 2018	1529402438	0	29	30	29
Tue Jun 19 18:00:38 2018	1529402438	0	29	30	28
Tue Jun 19 18:00:38 2018	1529402438	0	29	30	28
Tue Jun 19 18:00:39 2018	1529402439	0	29	30	28
Tue Jun 19 18:00:38 2018	1529402438	0	29	30	29
Tue Jun 19 18:00:39 2018	1529402439	0	30	30	29
Tue Jun 19 18:00:38 2018	1529402438	0	30	30	28
Tue Jun 19 18:00:38 2018	1529402438	0	29	30	29
Tue Jun 19 18:00:38 2018	1529402438	1	29	30	29
Tue Jun 19 18:00:38 2018	1529402438	0	30	30	26
Tue Jun 19 18:00:38 2018	1529402438	0	29	30	27
Tue Jun 19 18:00:38 2018	1529402438	0	30	30	28
Tue Jun 19 18:00:38 2018	1529402438	0	30	30	29
Tue Jun 19 18:00:38 2018	1529402438	2	27	30	27
Tue Jun 19 18:00:38 2018	1529402438	0	30	30	30
Tue Jun 19 18:00:38 2018	1529402438	0	30	30	28
